event_id,round_id,start_datetime_utc,mixed
5188741,1,2025-11-12 19:00:00,TRUE
5188742,1,2025-11-15 09:00:00,TRUE
5204712,1,2025-11-15 16:00:00,TRUE
5200082,2,2025-11-19 19:00:00,TRUE
5204955,2,2025-11-19 23:00:00,TRUE
5200083,2,2025-11-22 09:00:00,TRUE
5204733,2,2025-11-22 16:00:00,TRUE
5205102,3,2025-11-26 19:00:00,TRUE
5205108,3,2025-11-26 19:00:00,FALSE
5205103,3,2025-11-26 23:00:00,TRUE
5205118,3,2025-11-26 23:00:00,FALSE
5205119,3,2025-11-29 09:00:00,FALSE
5205104,3,2025-11-29 09:00:00,TRUE
5205120,3,2025-11-29 16:00:00,FALSE
5205105,3,2025-11-29 16:00:00,TRUE
5239183,4,2025-12-03 19:00:00,FALSE
5239179,4,2025-12-03 19:00:00,TRUE
5239184,4,2025-12-03 23:00:00,FALSE
5239180,4,2025-12-03 23:00:00,TRUE
5239185,4,2025-12-06 09:00:00,FALSE
5239181,4,2025-12-06 09:00:00,TRUE
5239186,4,2025-12-06 16:00:00,FALSE
5239182,4,2025-12-06 16:00:00,TRUE
